ts,Ayato Hidaka,Ayumu Shinonome,Boss,Chigaya Meguro,Daichi Katsuragi,Dui,Eiichi Matsunaga,Eisuke Ichinomiya,Hideki Ishigami,Hiroshi Kirisawa,Huedhaut,Hyogo Kaga,Jun Araki,Karno,Kazuomi Shido,Kei Soejima,Kunihiro Kasai,Kyohei Rikudoh,Leon,Mad Hatter,Mamoru Kishi,Masashi Himuro,Minoru Tsujimoto,Mitsunari Baba,Munechika Takado,Reo Kuzume,Scorpio,Seiji Goto,Sentaro Kyogoku,Shu Hasunuma,Shunichiro Tachibana,Soji Okita,Soryu Oh,Takamune Kitami,Takaomi Tsugaru,Taki Kozaki,Takuto Hirukawa,Tauxolouve,Tetsuya Hosho,Togo Daimon,Toma Kiriya,Toru Kurosawa,Toshiki Kasumi,Tsubaki Iriyama,Tsumugu Kido,Ukyo Senkawa,Yamato Kougami,Yosuke Sagara,Yuzuru Shiba,Zyglavis
2025-11-12 05:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-12 06:00:00+00:00,2701.0,3959.0,2908.0,429.0,1999.0,1.0,2341.0,855.0,5205.0,3639.0,3017.0,323.0,237.0,30509.0,2909.0,8678.0,7.0,4882.0,21.0,2899.0,2728.0,3613.0,3767.0,2629.0,1921.0,5242.0,10608.0,3248.0,3431.0,413.0,9.0,2787.0,251.0,2610.0,329.0,4628.0,17.0,1709.0,9.0,1059.0,425.0,3799.0,13784.0,2459.0,3.0,2195.0,1951.0,803.0,409.0,19764.0
2025-11-12 07:00:00+00:00,2703.0,3963.0,2908.0,431.0,1999.0,15.0,2343.0,1065.0,9099.0,3639.0,3019.0,325.0,277.0,32169.0,2949.0,8680.0,11.0,4884.0,93.0,2905.0,2730.0,3813.0,3809.0,2631.0,1921.0,5246.0,10614.0,3292.0,3463.0,415.0,103.0,5827.0,4957.0,2636.0,331.0,4678.0,21.0,1713.0,11.0,1223.0,427.0,3801.0,14230.0,2461.0,17.0,2197.0,1969.0,803.0,451.0,19782.0
2025-11-12 08:00:00+00:00,2703.0,4015.0,2908.0,477.0,1999.0,2599.0,2343.0,1307.0,9099.0,3639.0,3021.0,325.0,297.0,35173.0,3949.0,8680.0,33.0,4984.0,95.0,2905.0,2730.0,4873.0,3815.0,2631.0,1921.0,5246.0,10678.0,3392.0,3463.0,415.0,103.0,5873.0,5191.0,2680.0,351.0,4678.0,53.0,1715.0,11.0,1313.0,431.0,3801.0,14230.0,2461.0,21.0,2199.0,1975.0,803.0,1495.0,20054.0
2025-11-12 09:00:00+00:00,2703.0,4015.0,3102.0,885.0,2003.0,2601.0,2343.0,2657.0,9505.0,3649.0,3029.0,331.0,297.0,35187.0,4155.0,8684.0,437.0,4986.0,97.0,2909.0,2740.0,4873.0,3819.0,2635.0,1921.0,5248.0,10702.0,3400.0,3663.0,415.0,111.0,6873.0,5429.0,2680.0,355.0,4682.0,53.0,5705.0,731.0,1325.0,435.0,3801.0,14234.0,2461.0,8131.0,2201.0,1975.0,805.0,1499.0,20056.0
2025-11-12 10:00:00+00:00,2703.0,4015.0,3102.0,887.0,2013.0,2601.0,2523.0,2681.0,9855.0,3651.0,3029.0,331.0,377.0,35247.0,4217.0,11464.0,437.0,4986.0,97.0,2989.0,2740.0,4883.0,3821.0,2635.0,1923.0,5250.0,10702.0,3402.0,3665.0,415.0,111.0,6873.0,5433.0,2680.0,355.0,4682.0,95.0,5705.0,733.0,1327.0,477.0,3801.0,15456.0,2463.0,16323.0,2201.0,1975.0,2067.0,1501.0,20866.0
2025-11-12 11:00:00+00:00,2703.0,4015.0,3102.0,887.0,2013.0,2601.0,2523.0,2743.0,9855.0,3651.0,3029.0,331.0,379.0,38241.0,4217.0,11464.0,437.0,4986.0,99.0,2989.0,2740.0,4883.0,4421.0,2677.0,1923.0,5250.0,10704.0,3402.0,3665.0,415.0,111.0,6875.0,5595.0,2680.0,357.0,4682.0,97.0,5705.0,733.0,1333.0,483.0,3801.0,15456.0,2463.0,16343.0,2201.0,1979.0,2067.0,1501.0,20866.0
2025-11-12 12:00:00+00:00,2703.0,4015.0,3102.0,887.0,2013.0,2601.0,2523.0,2743.0,9855.0,3651.0,3029.0,331.0,379.0,38241.0,4217.0,11464.0,437.0,4986.0,99.0,2989.0,2740.0,4883.0,4421.0,2677.0,1923.0,5250.0,10704.0,3402.0,3665.0,415.0,111.0,6875.0,5595.0,2680.0,357.0,4682.0,97.0,5705.0,733.0,1333.0,483.0,3801.0,15456.0,2463.0,16343.0,2201.0,1979.0,2067.0,1501.0,20866.0
2025-11-12 13:00:00+00:00,2703.0,4015.0,3102.0,887.0,2013.0,2601.0,2523.0,2743.0,9855.0,3651.0,3029.0,331.0,379.0,38241.0,4217.0,11464.0,437.0,4986.0,99.0,2989.0,2740.0,4883.0,4421.0,2677.0,1923.0,5250.0,10704.0,3402.0,3665.0,415.0,111.0,6875.0,5595.0,2680.0,357.0,4682.0,97.0,5705.0,733.0,1333.0,483.0,3801.0,15456.0,2463.0,16343.0,2201.0,1979.0,2067.0,1501.0,20866.0
2025-11-12 14:00:00+00:00,2707.0,4027.0,3124.0,4931.0,2015.0,2641.0,2523.0,2819.0,10289.0,3655.0,3129.0,1519.0,407.0,40445.0,9977.0,11472.0,465.0,7816.0,99.0,3017.0,2746.0,4893.0,5069.0,2695.0,2005.0,5586.0,10768.0,4432.0,3665.0,547.0,279.0,6877.0,5635.0,2682.0,377.0,4694.0,107.0,5705.0,733.0,1375.0,4499.0,3821.0,16028.0,2469.0,16355.0,2213.0,2003.0,2067.0,1509.0,21438.0
2025-11-12 15:00:00+00:00,2727.0,4037.0,3134.0,5621.0,2025.0,2661.0,2533.0,3615.0,10329.0,3695.0,3149.0,1529.0,451.0,40485.0,9977.0,11482.0,615.0,7856.0,121.0,3027.0,2886.0,4913.0,5099.0,2835.0,2045.0,5608.0,10820.0,4472.0,3675.0,567.0,331.0,6907.0,5805.0,2692.0,387.0,4718.0,117.0,5757.0,753.0,1395.0,4509.0,3831.0,16048.0,2489.0,16425.0,2915.0,2023.0,2077.0,1519.0,21448.0
2025-11-12 16:00:00+00:00,2727.0,4039.0,3136.0,5621.0,2025.0,2661.0,2933.0,3619.0,10629.0,3695.0,3151.0,1531.0,453.0,40485.0,9983.0,11482.0,615.0,7872.0,169.0,3075.0,3088.0,4917.0,5099.0,2835.0,2047.0,5608.0,10822.0,4472.0,3675.0,607.0,731.0,6907.0,5891.0,2692.0,387.0,5278.0,121.0,5757.0,753.0,1397.0,4511.0,3831.0,16208.0,2489.0,16427.0,2915.0,2025.0,2277.0,2001.0,21798.0
2025-11-12 17:00:00+00:00,2779.0,4039.0,3136.0,5633.0,2025.0,2701.0,2945.0,3711.0,11189.0,3695.0,3231.0,1543.0,467.0,44487.0,9995.0,11496.0,629.0,7932.0,169.0,3113.0,3100.0,4917.0,5103.0,2835.0,2047.0,5622.0,10822.0,4472.0,3675.0,607.0,745.0,6907.0,5983.0,2774.0,391.0,5518.0,461.0,5757.0,753.0,1397.0,4535.0,3833.0,17292.0,2609.0,16477.0,2915.0,2025.0,2289.0,2001.0,22604.0
2025-11-12 18:00:00+00:00,2779.0,4041.0,3138.0,5693.0,2025.0,3221.0,2945.0,3785.0,11189.0,3777.0,3233.0,2565.0,479.0,44487.0,9995.0,18696.0,631.0,7932.0,171.0,3419.0,3102.0,4917.0,5103.0,2837.0,2089.0,5624.0,10840.0,4472.0,3677.0,607.0,745.0,6921.0,6063.0,2984.0,393.0,5520.0,1281.0,5757.0,753.0,1399.0,4535.0,3833.0,17296.0,2609.0,16477.0,2915.0,2025.0,2289.0,2701.0,22604.0
2025-11-12 19:00:00+00:00,2791.0,4041.0,3138.0,5693.0,2025.0,3221.0,2945.0,4055.0,11251.0,3777.0,3233.0,2567.0,619.0,50483.0,10009.0,18696.0,633.0,7954.0,173.0,3419.0,3102.0,4917.0,5103.0,2837.0,2089.0,5624.0,12122.0,4474.0,3677.0,657.0,1569.0,6921.0,6065.0,2984.0,393.0,5522.0,1281.0,5757.0,753.0,1399.0,4535.0,3833.0,17298.0,2611.0,17739.0,2915.0,2029.0,2309.0,2711.0,39576.0
2025-11-12 20:00:00+00:00,2791.0,4041.0,3138.0,5693.0,2025.0,3229.0,2947.0,5727.0,11277.0,3779.0,3235.0,2567.0,619.0,50485.0,10011.0,18696.0,643.0,7960.0,175.0,3419.0,3124.0,4933.0,5103.0,2839.0,2101.0,5824.0,12336.0,4474.0,3889.0,719.0,1569.0,6921.0,6085.0,2984.0,653.0,5538.0,1319.0,6277.0,949.0,1399.0,4535.0,3845.0,17498.0,2611.0,17739.0,2915.0,2041.0,2319.0,2723.0,39578.0
2025-11-12 21:00:00+00:00,2791.0,4041.0,3138.0,5693.0,2029.0,3349.0,2947.0,5739.0,11277.0,3813.0,3235.0,2567.0,807.0,50485.0,10013.0,18696.0,643.0,7960.0,175.0,3419.0,3126.0,4933.0,5103.0,2841.0,2381.0,5824.0,12340.0,4474.0,3889.0,721.0,1569.0,6921.0,6087.0,2984.0,653.0,5540.0,1429.0,6277.0,1029.0,1453.0,4535.0,3845.0,17498.0,2611.0,17739.0,2915.0,2041.0,2319.0,2843.0,39722.0
2025-11-12 22:00:00+00:00,2815.0,4041.0,3138.0,5693.0,2029.0,3349.0,2947.0,6743.0,11277.0,3825.0,3235.0,2579.0,817.0,50485.0,10013.0,18696.0,1645.0,7974.0,175.0,3421.0,3126.0,4933.0,5103.0,2843.0,2381.0,5824.0,12340.0,4486.0,3889.0,721.0,1569.0,6935.0,6087.0,2994.0,1623.0,5540.0,1651.0,6277.0,1029.0,1453.0,4625.0,3845.0,17498.0,2611.0,17739.0,2915.0,2053.0,2319.0,2843.0,39726.0
2025-11-12 23:00:00+00:00,2823.0,4041.0,3138.0,5693.0,2031.0,3349.0,2947.0,6751.0,12345.0,3825.0,3235.0,2779.0,817.0,56481.0,10013.0,18696.0,1653.0,8064.0,191.0,3421.0,3136.0,4933.0,5103.0,2843.0,2391.0,5834.0,12348.0,4486.0,3889.0,721.0,1569.0,6935.0,6099.0,3014.0,1623.0,5540.0,1657.0,6277.0,1029.0,1461.0,4629.0,3845.0,17498.0,2611.0,17747.0,2923.0,2055.0,2319.0,2973.0,39728.0
2025-11-13 00:00:00+00:00,2831.0,4041.0,3138.0,5697.0,2031.0,3349.0,2947.0,6949.0,12345.0,3825.0,3239.0,2781.0,819.0,56483.0,10073.0,18696.0,1655.0,8094.0,191.0,3423.0,3138.0,4933.0,5105.0,2845.0,2391.0,5834.0,13042.0,4488.0,3889.0,731.0,1569.0,6941.0,6107.0,3014.0,1623.0,5546.0,1753.0,6277.0,1029.0,1473.0,4635.0,3845.0,17504.0,2611.0,17769.0,2927.0,2055.0,2319.0,2983.0,39766.0
2025-11-13 01:00:00+00:00,2831.0,4041.0,3138.0,5697.0,2041.0,3349.0,2947.0,7127.0,12345.0,3825.0,3239.0,2781.0,823.0,56763.0,10073.0,18776.0,1669.0,8094.0,191.0,3423.0,3138.0,4933.0,5105.0,2879.0,2391.0,5836.0,13044.0,4488.0,3889.0,733.0,1569.0,6941.0,6191.0,3026.0,1763.0,5548.0,1753.0,6277.0,1029.0,1475.0,4635.0,3845.0,17564.0,2611.0,17769.0,2927.0,2055.0,2339.0,2983.0,39766.0
2025-11-13 02:00:00+00:00,2833.0,4041.0,3138.0,5697.0,2043.0,3359.0,2947.0,7133.0,12347.0,3827.0,3241.0,2781.0,855.0,56765.0,10075.0,18776.0,1671.0,8098.0,193.0,3423.0,3140.0,4935.0,5107.0,2881.0,2391.0,5836.0,13064.0,4490.0,3889.0,735.0,1571.0,6943.0,6213.0,3028.0,1763.0,5550.0,1753.0,6281.0,1031.0,1477.0,4637.0,3845.0,17736.0,2611.0,17771.0,2929.0,2135.0,2399.0,2985.0,39768.0
2025-11-13 03:00:00+00:00,2833.0,4041.0,3138.0,5697.0,2043.0,3359.0,2947.0,7135.0,12349.0,3827.0,3241.0,2781.0,875.0,56765.0,10075.0,18776.0,1671.0,8328.0,207.0,3423.0,3140.0,4935.0,5107.0,2881.0,2391.0,5836.0,13064.0,4490.0,3889.0,735.0,1571.0,6943.0,6213.0,3032.0,1763.0,5550.0,1753.0,6281.0,1031.0,1477.0,4637.0,3845.0,17736.0,2611.0,17785.0,2937.0,2139.0,2399.0,2985.0,39768.0
2025-11-13 04:00:00+00:00,3435.0,4041.0,3138.0,5697.0,2043.0,3359.0,2947.0,7395.0,12349.0,3827.0,3241.0,2781.0,875.0,56765.0,10075.0,18776.0,1671.0,8328.0,207.0,3423.0,3140.0,4939.0,5107.0,2881.0,2391.0,5836.0,13064.0,4490.0,3889.0,735.0,1571.0,6945.0,6217.0,3032.0,1763.0,5550.0,1753.0,6281.0,1031.0,1477.0,4637.0,3845.0,17736.0,2611.0,17785.0,2937.0,2145.0,2399.0,2987.0,40608.0
2025-11-13 05:00:00+00:00,3435.0,4041.0,3138.0,5697.0,2045.0,3359.0,2953.0,7399.0,12367.0,3827.0,3241.0,2781.0,2561.0,62759.0,10103.0,18776.0,1671.0,8328.0,207.0,3423.0,3142.0,4941.0,5109.0,2885.0,2391.0,5836.0,13068.0,4492.0,3889.0,735.0,1571.0,6969.0,6233.0,3032.0,1763.0,5552.0,1753.0,6281.0,1031.0,1477.0,4647.0,3845.0,17744.0,2611.0,17785.0,2937.0,2945.0,2401.0,2989.0,40618.0
