m_vote_title_id,m_vote_id,vote_title_name,release_date,sort_number
604,17,Era of Samurai: Code of Love,2024-11-08 00:00:00,1
605,17,Love Letter from Thief X,2024-11-08 00:00:00,2
606,17,Kissed by the Baddest Bidder,2024-11-08 00:00:00,3
607,17,Our Two Bedroom Story,2024-11-08 00:00:00,4
608,17,My Last First Kiss,2024-11-08 00:00:00,5
609,17,My Forged Wedding,2024-11-08 00:00:00,6
610,17,Scandal in the Spotlight,2024-11-08 00:00:00,7
611,17,Metro PD Close to You,2024-11-08 00:00:00,8
612,17,My Sweet Bodyguard,2024-11-08 00:00:00,9
613,17,Irresistible Mistakes,2024-11-08 00:00:00,10
614,17,Kings of Paradise,2024-11-08 00:00:00,11
615,17,Star-Crossed Myth,2024-11-08 00:00:00,12
616,17,Her Love in the Force,2024-11-08 00:00:00,13
617,17,Masquerade Kiss,2024-11-08 00:00:00,14
618,17,Romance MD: Always On Call,2024-11-08 00:00:00,15
619,17,"Oops, I Said Yes?!",2024-11-08 00:00:00,16
620,17,Kiss the Dawn Away,2024-11-08 00:00:00,17
