ts,ボス,一ノ宮英介,世良桜太朗,久遠開生,五十嵐恒太,京極千太郎,京橋克之,入山椿,八千草瑛希,加賀兵吾,加賀美和巳,司波譲,吾川映太郎,大門十護,天王寺豊,宝生哲也,廣瀬遼一,後藤誠二,木場蔵之介,東雲歩,桐沢洋,桐谷冬馬,橘駿一朗,氷室征司,江國楓,津軽高臣,添島啓,獅堂和臣,白藤葵,百千高嶺,相原恒星,石神秀樹,神堂春,窓鈴虫,紅崎瀧,荒城准,菱川郁,葛目玲生,蓮沼修,蘭堂駿,蛭川拓斗,辻本稔,野村忠信,間宮春一,難波仁,霞俊希,颯馬周介,高堂宗近,鴻上大和,黒澤透
2025-11-26 18:00:01.137535+00:00,90963,111647,74198,59570,68504,90722,153384,280106,75938,402504,61657,156729,92728,137790,257133,124093,111727,322715,87689,479251,134788,56543,195476,86864,47373,734390,372759,116864,146846,15031,63908,52511,165077,64345,36134,306543,140679,181216,57054,354546,28919,151587,111880,126435,147555,139407,110206,117060,50968,91439
2025-11-26 19:00:01.598639+00:00,90963,111647,74198,59570,68504,90722,153384,280106,75938,402504,61657,156729,92728,137790,257133,124093,111727,322715,87689,479251,134788,56543,195476,86864,47373,734393,372759,116864,146846,15031,63908,52511,165077,64345,36134,306543,140680,181217,57056,354546,28919,151590,111880,126435,147555,139407,110207,117063,50969,91439
2025-11-26 20:00:01.910789+00:00,90963,111652,74198,59570,68504,90722,153384,280106,75938,402505,61657,156729,92728,137794,257133,124097,111727,322715,87689,479251,134788,56553,195500,86864,47373,734394,372759,116864,146846,15031,63908,52511,165077,64345,36134,306553,140680,181218,57056,354546,28919,151591,111884,126435,147555,139407,110207,117063,50970,91439
2025-11-26 21:00:01.167803+00:00,90963,111652,74198,59570,68510,90722,153384,280557,75938,402507,61657,156729,92728,137795,257133,124097,111728,322715,87689,479251,134805,56553,195500,86865,47373,734399,372759,116865,146846,15032,63908,52513,165077,64345,36134,306554,140681,181218,57058,354546,28919,151591,111884,126435,147555,139407,110207,117063,50970,91439
2025-11-26 22:00:01.504051+00:00,90965,111655,74199,59571,68510,90722,153384,280558,75938,402510,61658,156729,92729,137855,257133,124098,111731,322716,87689,479252,134806,56554,196359,86865,47373,734402,372759,116865,146846,15032,63908,52513,165094,64345,36136,306559,140681,181224,57058,354546,28919,151591,111884,126435,147555,139410,110208,117064,50971,91439
2025-11-26 23:00:01.901044+00:00,90965,111758,74228,59571,68510,90724,153384,280584,75938,402514,61658,156754,92729,137855,257133,124098,111731,322718,87689,479252,134806,56564,196459,86865,47373,734433,372809,116969,146846,15032,63908,52515,165094,64345,36146,306581,140788,181227,57058,354546,28919,151592,111976,126435,147555,139412,110208,117065,50984,91439
2025-11-27 00:00:01.122009+00:00,90966,111760,74229,59571,68510,90724,153384,280688,75938,402525,61659,156754,92729,137856,257133,124098,111731,322723,87689,479261,134806,56564,196459,86865,47373,734485,372809,116969,146846,15032,63908,52521,165094,64345,36146,306582,140892,181329,57058,354546,28919,151592,111976,126435,147557,139412,110213,117066,50985,91444
2025-11-27 01:00:01.447630+00:00,90966,111807,74229,59571,68510,90725,153384,280688,75939,402526,61659,156754,92729,137856,257133,124099,111731,322824,87689,479261,134838,56564,196459,86866,47373,734486,372809,116969,146846,15032,63908,52522,165094,64345,36146,306582,140892,181329,57061,354546,28919,151593,111978,126435,147557,139412,110213,117067,50986,91445
2025-11-27 02:00:01.291959+00:00,90966,111907,74229,59571,68510,90730,153384,280788,75939,402726,61659,156754,92729,137856,257133,124100,111731,323024,87690,479362,134838,56564,196559,86866,47373,734587,372809,116969,146846,15032,63908,52522,165094,64345,36247,306582,140892,181329,57061,354546,28919,151693,111978,126435,147557,139412,110213,117067,50986,91445
2025-11-27 03:00:01.387123+00:00,90966,111908,74229,59571,68510,91232,153384,280800,75939,402819,61659,156754,92729,138040,257133,124100,111732,323024,87690,480234,134838,56564,196579,86866,47373,734642,372809,116969,146846,15032,63908,52522,165094,64345,36247,306582,140905,181420,57061,354546,28919,151693,111978,126435,147557,139412,110213,117068,50986,91445
