m_vote_id,m_vote_chara_id,m_vote_group_id,m_vote_title_id,release_date,summary_total_count,current_rank,previous_rank,ambassador_flag,chara_id,count,rank
44,5436,0,998,2014-06-01 00:00:00,1414407,1,1,,5436,1414407,1
44,5438,0,998,2014-06-01 00:00:00,1207106,2,2,,5438,1207106,2
44,5440,0,998,2014-06-01 00:00:00,1009917,3,3,,5440,1009917,3
44,5435,0,995,2018-05-01 00:00:00,957939,4,4,,5435,957939,4
44,5455,0,998,2014-06-01 00:00:00,832489,5,5,,5455,832489,5
44,5457,0,988,2024-08-09 10:00:00,605152,6,6,,5457,605152,6
44,5434,0,991,2018-09-01 00:00:00,564857,7,7,,5434,564857,7
44,5443,0,986,2016-10-01 00:00:00,542775,8,8,,5443,542775,8
44,5456,0,1002,2017-11-01 00:00:00,484470,9,9,,5456,484470,9
44,5437,0,995,2018-05-01 00:00:00,457207,10,10,,5437,457207,10
44,5441,0,986,2016-10-01 00:00:00,440203,11,11,,5441,440203,11
44,5461,0,986,2016-10-01 00:00:00,403437,12,12,,5461,403437,12
44,5459,0,988,2024-08-09 10:00:00,401872,13,13,,5459,401872,13
44,5444,0,990,2013-10-01 00:00:00,391045,14,14,,5444,391045,14
44,5454,0,1000,2010-06-01 00:00:00,377027,15,15,,5454,377027,15
44,5449,0,1000,2010-06-01 00:00:00,372535,16,16,,5449,372535,16
44,5480,0,998,2014-06-01 00:00:00,338845,17,17,,5480,338845,17
44,5464,0,1000,2010-06-01 00:00:00,334037,18,18,,5464,334037,18
44,5466,0,987,2021-03-01 00:00:00,328746,19,19,,5466,328746,19
44,5446,0,991,2018-09-01 00:00:00,316302,20,20,,5446,316302,20
44,5465,0,991,2018-09-01 00:00:00,306423,21,21,,5465,306423,21
44,5445,0,1001,2010-09-01 00:00:00,303007,22,22,,5445,303007,22
44,5462,0,988,2024-08-09 10:00:00,302045,23,23,,5462,302045,23
44,5439,0,995,2018-05-01 00:00:00,287864,24,24,,5439,287864,24
44,5450,0,1002,2017-11-01 00:00:00,269720,25,25,,5450,269720,25
44,5442,0,997,2011-01-01 00:00:00,262009,26,26,,5442,262009,26
44,5468,0,1000,2010-06-01 00:00:00,248519,27,27,,5468,248519,27
44,5475,0,992,2015-09-01 00:00:00,235343,28,28,,5475,235343,28
44,5460,0,994,2007-12-01 00:00:00,196976,29,29,,5460,196976,29
44,5472,0,991,2018-09-01 00:00:00,182620,30,30,,5472,182620,30
44,5470,0,998,2014-06-01 00:00:00,167043,31,31,,5470,167043,31
44,5453,0,995,2018-05-01 00:00:00,166399,32,32,,5453,166399,32
44,5477,0,1000,2010-06-01 00:00:00,157733,33,33,,5477,157733,33
44,5448,0,998,2014-06-01 00:00:00,152828,34,34,,5448,152828,34
44,5458,0,999,2015-04-01 00:00:00,151496,35,35,,5458,151496,35
44,5479,0,996,2014-09-01 00:00:00,150582,36,36,,5479,150582,36
44,5476,0,998,2014-06-01 00:00:00,146216,37,37,,5476,146216,37
44,5473,0,992,2015-09-01 00:00:00,128545,38,38,,5473,128545,38
44,5474,0,988,2024-08-09 10:00:00,122201,39,43,,5474,122201,39
44,5482,0,986,2016-10-01 00:00:00,121590,40,40,,5482,121590,40
44,5481,0,1003,2011-07-01 00:00:00,121167,41,39,,5481,121167,41
44,5447,0,987,2021-03-01 00:00:00,120565,42,41,,5447,120565,42
44,5452,0,987,2021-03-01 00:00:00,119873,43,42,,5452,119873,43
44,5463,0,1000,2010-06-01 00:00:00,99955,44,44,,5463,99955,44
44,5469,0,993,2024-08-09 10:00:00,93991,45,45,,5469,93991,45
44,5471,0,984,2021-09-13 00:00:00,83874,46,46,,5471,83874,46
44,5483,0,991,2018-09-01 00:00:00,77128,47,48,,5483,77128,47
44,5478,0,1002,2017-11-01 00:00:00,76887,48,47,,5478,76887,48
44,5451,0,985,2019-07-01 00:00:00,67877,49,49,,5451,67877,49
44,5467,0,989,2018-05-11 00:00:00,65538,50,50,,5467,65538,50
